100 -90  -20
100 90 -20
-40 90 -20
-40 -90 -20
100 -90 -20
#
80 -90 -20
80 90 -20

60 -90 -20
60 90 -20

40 -90 -20
40 90 -20

20 -90 -20
20 90 -20

0 -90 -20
0 90 -20

-20 -90 -20
-20 90 -20
#
-20 90 -20
-40 90 -20
-40 -80 -20
100 -80 -20

-40 -70 -20
100 -70 -20

-40 -60 -20
100 -60 -20

-40 -50 -20
100 -50 -20

-40 -40 -20
100 -40 -20

-40 -30 -20
100 -30 -20

-40 -20 -20
100 -20 -20

-40 -10 -20
100 -10 -20

-40 0 -20
100 0 -20

-40 10 -20
100 10 -20

-40 20 -20
100 20 -20

-40 30 -20
100 30 -20

-40 40 -20
100 40 -20

-40 50 -20
100 50 -20

-40 60 -20
100 60 -20

-40 70 -20
100 70 -20

-40 80 -20
100 80 -20
#
