100 -90  80
100 90 80
-40 90 80
-40 -90 80
100 -90 80
#
80 -90 80
80 90 80

60 -90 80
60 90 80

40 -90 80
40 90 80

20 -90 80
20 90 80

0 -90 80
0 90 80

-20 -90 80
-20 90 80
#
-20 90 80
-40 90 80
-40 -80 80
100 -80 80

-40 -70 80
100 -70 80

-40 -60 80
100 -60 80

-40 -50 80
100 -50 80

-40 -40 80
100 -40 80

-40 -30 80
100 -30 80

-40 -20 80
100 -20 80

-40 -10 80
100 -10 80

-40 0 80
100 0 80

-40 10 80
100 10 80

-40 20 80
100 20 80

-40 30 80
100 30 80

-40 40 80
100 40 80

-40 50 80
100 50 80

-40 60 80
100 60 80

-40 70 80
100 70 80

-40 80 80
100 80 80
#
