
-30	-30	50	
-30	-20	60	
-30	-10	50	
-30	0	60	
-30	10	50	
-30	20	60	
-30	30	50	

-20	-30	60	
-20	-20	50	
-20	-10	60	
-20	0	50	
-20	10	60	
-20	20	50	
-20	30	60	

-10	-30	50	
-10	-20	60	
-10	-10	50	
-10	0	60	
-10	10	50	
-10	20	60	
-10	30	50	

0	-30	60	
0	-20	50	
0	-10	60	
0	0	50	
0	10	60	
0	20	50	
0	30	60	

10	-30	50	
10	-20	60	
10	-10	50	
10	0	60	
10	10	50	
10	20	60	
10	30	50	

20	-30	60	
20	-20	50	
20	-10	60	
20	0	50	
20	10	60	
20	20	50	
20	30	60	

30	-30	50	
30	-20	60	
30	-10	50	
30	0	60	
30	10	50	
30	20	60	
30	30	50	
